time,open,high,low,close,Volume,Volume MA
2019-07-31T21:00:00-03:00,10096.01,10499,9878.09,10407.71,7681.73235986,10125.190311280068
2019-08-01T21:00:00-03:00,10416.79,10670,10318.47,10529.51,9286.86172741,10119.96572693307
2019-08-02T21:00:00-03:00,10529.51,10919,10502.8,10821.52,6996.11722818,9861.25117646057
2019-08-03T21:00:00-03:00,10812.58,11085.99,10564.96,10986.96,7556.32923024,9436.66627876957
2019-08-04T21:00:00-03:00,10986.55,11959.36,10986.55,11800,17260.45577332,9261.637693435068
2019-08-05T21:00:00-03:00,11800,12325,11200,11470,16420.57916354,9233.027388646069
2019-08-06T21:00:00-03:00,11471.58,12145.42,11388.01,11971.57,15480.45524249,9092.573041978068
2019-08-07T21:00:00-03:00,11973.46,12061.1,11450.93,11983.43,10144.46210884,8910.423324061068
2019-08-08T21:00:00-03:00,11985.6,12040,11650,11859.32,7336.91484905,8779.035372372568
2019-08-09T21:00:00-03:00,11859.32,11976.68,11200,11273.2,7447.24834124,8869.989701102568
2019-08-10T21:00:00-03:00,11273.03,11589.73,11080.37,11528.73,4361.39069182,8619.493913578068
2019-08-11T21:00:00-03:00,11527.44,11551.57,11194.04,11385.11,3417.70935664,8338.336940099567
2019-08-12T21:00:00-03:00,11380.61,11446.94,10738.58,10862.28,9003.17888634,8316.828624408066
2019-08-13T21:00:00-03:00,10862.25,10862.25,9888.57,10022.99,12678.9411947,8631.877808250565
2019-08-14T21:00:00-03:00,10022.5,10444.66,9467.57,10301.44,15083.17326332,9107.531014043565
2019-08-15T21:00:00-03:00,10294.9,10540,9736.96,10354.34,11080.39966131,9180.845893349566
2019-08-16T21:00:00-03:00,10351.18,10472.93,9974.51,10210.89,3907.52839849,9183.180572429064
2019-08-17T21:00:00-03:00,10221.94,10515,10065.41,10318.99,3398.41986671,9099.668850299564
2019-08-18T21:00:00-03:00,10318.99,10940,10267.56,10927.3,8044.02134828,9225.171358449064
2019-08-19T21:00:00-03:00,10927.3,10955.48,10549.74,10772.22,5883.59995275,9123.475932226564
2019-08-20T21:00:00-03:00,10778.75,10807.54,9853.45,10134.75,9812.62171129,9230.020399798064
