time,open,high,low,close
2008-10-14T22:00:00Z,78.75,79.17,73.55,73.56
2008-10-15T22:00:00Z,73.6,74.5,68.57,72.25
2008-10-16T22:00:00Z,72.3,74.3,69.84,71.8
2008-10-19T22:00:00Z,72.16,76.13,71.77,75.95
2008-10-20T22:00:00Z,71.75,76.04,70.3,71.41
2008-10-21T22:00:00Z,71.47,71.8,66.2,67.19
2008-10-22T22:00:00Z,67.21,69.42,65.9,69.42
2008-10-23T22:00:00Z,69.42,69.5,62.65,64.6
2008-10-26T22:00:00Z,64.78,65.77,61.3,62.15
2008-10-27T22:00:00Z,62.24,65.2,61.61,64.65
2008-10-28T22:00:00Z,64.5,69.24,63.65,68.23
2008-10-29T22:00:00Z,68.11,70.6,64.04,65.39
2008-10-30T22:00:00Z,65.58,68.6,63.12,67.48
2008-11-02T22:00:00Z,67.37,69.19,63.63,63.8
2008-11-03T22:00:00Z,63.8,71.77,62.25,70.13
2008-11-04T22:00:00Z,70,70.46,65,65.1
2008-11-05T22:00:00Z,65.02,65.5,60.16,60.44
2008-11-06T22:00:00Z,60.67,62.82,59.97,61.33
2008-11-09T22:00:00Z,61.8,65.56,59.1,62.09
2008-11-10T22:00:00Z,62.14,62.28,58.32,59
2008-11-11T22:00:00Z,59,59.5,55.5,55.5
2008-11-12T22:00:00Z,55.44,59.66,54.67,59.39
2008-11-13T22:00:00Z,59.39,59.96,55.69,56.45
2008-11-16T22:00:00Z,56.74,58.98,54.72,55.01
2008-11-17T22:00:00Z,55.01,55.98,53.96,54.52
2008-11-18T22:00:00Z,54.7,55.34,52.79,53.3
2008-11-19T22:00:00Z,51.2,53.8,48.52,48.67
2008-11-20T22:00:00Z,48.57,51.12,48.25,50.36
2008-11-23T22:00:00Z,50.97,55.3,48.8,54.2
2008-11-24T22:00:00Z,54.3,54.66,50.52,50.65
2008-11-25T22:00:00Z,50.65,54.97,50.15,54.65
2008-11-27T22:00:00Z,54.3,55.98,51.12,55.03
2008-11-30T22:00:00Z,54.62,54.62,48.62,48.75
2008-12-01T22:00:00Z,48.85,50.25,46.82,47.5
2008-12-02T22:00:00Z,47.76,48.1,46.26,46.77
2008-12-03T22:00:00Z,47,47.27,43.36,43.81
2008-12-04T22:00:00Z,43.78,44.47,40.5,41.74
2008-12-07T22:00:00Z,41.64,44.7,41.55,43.99
2008-12-08T22:00:00Z,44.05,44.57,41.83,42.4
2008-12-09T22:00:00Z,42.4,46.17,41.89,44.03
2008-12-10T22:00:00Z,44.05,49.12,43.28,47.34
2008-12-11T22:00:00Z,47,47.51,43.32,46.58
2008-12-14T22:00:00Z,46.77,50.05,44.1,44.75
2008-12-15T22:00:00Z,44.95,46.53,42.56,43.73
2008-12-16T22:00:00Z,43.75,45.5,39.88,40.26
2008-12-17T22:00:00Z,40.32,40.9,35.98,36.18
2008-12-18T22:00:00Z,42.17,43.25,40.9,42.91
2008-12-21T22:00:00Z,42.79,43.44,39.5,39.58
2008-12-22T22:00:00Z,39.55,40.65,37.79,39.1
2008-12-23T22:00:00Z,39.15,39.69,35.13,35.58
2008-12-25T22:00:00Z,35.7,38.03,35.6,37.9
2008-12-28T22:00:00Z,38.4,42.2,37.53,39.9
2008-12-29T22:00:00Z,40.01,40.39,37.93,39.11
2008-12-30T22:00:00Z,39.17,45.54,36.94,42.66
2009-01-01T22:00:00Z,43.72,46.74,41.05,46.52
2009-01-04T22:00:00Z,47.04,49.28,45.56,48.26
2009-01-05T22:00:00Z,48.4,50.47,47.6,48.54
2009-01-06T22:00:00Z,48.41,49.09,42.41,42.65
2009-01-07T22:00:00Z,42.63,43.63,40.54,42.57
2009-01-08T22:00:00Z,42.45,42.7,39.38,40.36
2009-01-11T22:00:00Z,40.55,40.8,37.48,37.55
2009-01-12T22:00:00Z,37.49,39.5,36.1,38.79
2009-01-13T22:00:00Z,38.72,39.45,35.52,37.38
2009-01-14T22:00:00Z,37.34,37.99,33.2,35.2
2009-01-15T22:00:00Z,35.28,36.87,34.18,35.88
2009-01-19T22:00:00Z,40.9,43.79,39.11,40.82
2009-01-20T22:00:00Z,40.91,44.43,40.24,44.29
2009-01-21T22:00:00Z,44.21,45.1,40.41,43.28
2009-01-22T22:00:00Z,43.26,47,41.4,45.98
2009-01-25T22:00:00Z,46.05,48.59,45.25,45.62
2009-01-26T22:00:00Z,45.65,47.49,41.41,41.98
2009-01-27T22:00:00Z,41.99,43.6,40.6,42.11
2009-01-28T22:00:00Z,42.22,42.32,40.18,41.57
2009-01-29T22:00:00Z,41.65,43.44,41.02,41.75
2009-02-01T22:00:00Z,42.22,42.25,39.83,40.28
2009-02-02T22:00:00Z,40.28,41.17,39.65,40.98
2009-02-03T22:00:00Z,40.93,41.92,39.74,40.27
2009-02-04T22:00:00Z,40.3,41.25,39.46,41
2009-02-05T22:00:00Z,41,42.68,38.6,40.04
2009-02-08T22:00:00Z,41.2,42.43,39.42,39.67
2009-02-09T22:00:00Z,39.76,41.8,37.35,38.13
2009-02-10T22:00:00Z,38.15,38.47,35.65,35.9
2009-02-11T22:00:00Z,35.92,36.25,33.55,34.36
2009-02-12T22:00:00Z,34.36,38.25,33.81,38.01
2009-02-16T22:00:00Z,37.81,38.49,34.45,34.97
2009-02-17T22:00:00Z,35.02,36.22,34.13,34.72
2009-02-18T22:00:00Z,34.75,39.85,34.59,38.9
2009-02-19T22:00:00Z,39.6,40.13,37.54,39.8
2009-02-22T22:00:00Z,39.73,41.49,37.87,38
2009-02-23T22:00:00Z,38.1,40.13,37.65,39.94
2009-02-24T22:00:00Z,39.92,42.83,39.4,42.31
2009-02-25T22:00:00Z,42.39,45.3,42.27,44.72
2009-02-26T22:00:00Z,44.59,44.91,42.55,44.12
2009-03-01T22:00:00Z,44.34,44.49,39.84,39.97
2009-03-02T22:00:00Z,40.1,42.07,39.44,41.5
2009-03-03T22:00:00Z,41.38,45.76,41.04,45.49
2009-03-04T22:00:00Z,45.42,45.7,42.86,43.71
2009-03-05T22:00:00Z,43.61,46.3,43.45,45.6
2009-03-08T22:00:00Z,45.76,48.83,44.97,47.29
2009-03-09T22:00:00Z,47.25,48.32,45.33,45.62
2009-03-10T22:00:00Z,45.57,46.04,42.08,42.78
2009-03-11T22:00:00Z,42.73,47.22,42.51,46.96
2009-03-12T22:00:00Z,47.21,48.14,45.6,45.73
2009-03-15T22:00:00Z,45.2,47.63,43.62,47.01
2009-03-16T22:00:00Z,47.06,49.82,46.53,48.73
2009-03-17T22:00:00Z,48.67,49.87,46.92,49.73
2009-03-18T22:00:00Z,49.73,52.25,48.78,51.3
2009-03-19T22:00:00Z,51.68,52.72,51,52
2009-03-22T22:00:00Z,52.13,54.05,51.62,53.78
2009-03-23T22:00:00Z,53.83,54.2,52.45,53.6
2009-03-24T22:00:00Z,53.73,54.18,51.86,52.85
2009-03-25T22:00:00Z,52.84,54.66,52.76,53.95
2009-03-26T22:00:00Z,54,54.28,51.64,52.4
2009-03-29T22:00:00Z,52.25,52.25,48.11,48.64
2009-03-30T22:00:00Z,48.7,50,47.77,48.84
2009-03-31T22:00:00Z,48.96,48.96,47.26,48.43
2009-04-01T22:00:00Z,48.45,52.87,48.45,52.37
2009-04-02T22:00:00Z,52.36,53.9,51.02,52.47
2009-04-05T22:00:00Z,52.4,53.6,49.81,51.26
2009-04-06T22:00:00Z,51.39,51.82,48.4,48.4
