time,open,high,low,close,ParabolicSAR,WMA,MA,Smoothing Line,MA №1,MA №2,MA №3,MA №4,EMA,Smoothing Line,New Moon,Full Moon,Median,Upper Band,Lower Band,Median EMA,Plot,Plot,MOM,MF,Histogram,MACD,Signal,NV,OnBalanceVolume,Smoothing Line,Futures Open Interest,Crypto Open Interest (Open),Crypto Open Interest (High,Crypto Open Interest (Low),Crypto Open Interest (Close),OSC,PVT,ROC,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Plot,RVGI,Signal,RVI,RVI-based MA,Upper Bollinger Band,Lower Bollinger Band,Relative Volume Ratio
2016-11-25T00:00:00Z,735.63,737.07,728,737.07,721.3183038743502,739.396888888889,740.1022222222222,735.9975555555556,724.6315000000006,684.904,640.8155999999996,619.5185,735.8236500871172,734.3413584633082,NaN,NaN,735.075,771.9307086859005,698.2192913140996,736.9093281688865,21.090534413959425,9.930646442415698,26.010000000000105,64.26351414755163,-1.430926373812845,15.637776113152654,17.0687024869655,3356.08903132,1174683.221842409,1175200.4104985574,NaN,NaN,NaN,NaN,NaN,2.2718541414270566,19928.528163228377,-0.35689662164902275,58.26225634248738,60.6547182102862,NaN,NaN,50,0.17422460070249807,0.162874722154379,58.82617178394809,63.086572931152396,NaN,NaN,0.727155386483864
2016-11-26T00:00:00Z,736.96,737.56,722.3,729.91,755.07,737.3584444444443,739.5099999999999,738.2597777777777,725.6305000000006,687.2045999999999,642.3997999999996,620.90995,734.6409200696938,735.1534867706467,NaN,NaN,732.5350000000001,768.9381580654791,696.131841934521,734.7221640844433,21.090569706318014,9.801335145313054,-9.800000000000068,64.62453203460636,-2.27655200724044,14.22301247791495,16.49956448515539,-2314.57662144,1172368.645220969,1174715.1349837955,NaN,NaN,NaN,NaN,NaN,1.9589569152058919,19906.044045560433,-0.7249333550949405,55.11912516340625,60.61535429053875,NaN,NaN,50,0.11902453827414387,0.16527479482261145,54.12439550815038,62.519238564250365,NaN,NaN,0.5534361141350358
2016-11-27T00:00:00Z,729.91,732,722.44,727.32,754.4146000000001,734.9204444444445,737.1033333333332,738.9553333333333,726.8535000000005,689.4642,643.9438999999996,622.2819999999999,733.1767360557551,734.9271894165174,NaN,NaN,729.93,765.0986467750877,694.7613532249122,732.3260820422216,21.09060537350846,9.64934323077305,-7.919999999999959,66.75352742323912,-3.0029442829480324,12.745884131470348,15.74882841441838,-3447.86947559,1168920.775745379,1172533.3447568933,NaN,NaN,NaN,NaN,NaN,1.7334790907831128,19893.8096852396,-2.891933028919326,53.98459389225029,60.54961652358797,NaN,NaN,50,0.04798427265434221,0.136429541473395,49.16787495267882,61.873372656952775,NaN,NaN,0.8975104051353744
2016-11-28T00:00:00Z,727.32,732.44,724.1,729.54,753.7723080000001,733.4077777777777,734.7466666666666,738.3715555555556,727.8650000000005,691.7937999999999,645.4604999999997,623.6537,732.4493888446041,734.3205515332141,NaN,NaN,728.27,762.1180291482957,694.4219708517043,730.2980410211107,21.0906407195306,9.440136778671908,-19.440000000000055,65.49998479150489,-3.3027174361548166,11.62043161922486,14.923149055379676,4741.10019229,1173661.875937669,1172192.3303115037,NaN,NaN,NaN,NaN,NaN,1.2882820744093402,19908.280952944166,-2.82517482517483,54.8425817719015,60.461080168841555,NaN,NaN,50,-0.02692419976079911,0.0802196704664452,53.787718353393856,61.36009615540058,NaN,NaN,1.3452884146201072
2016-11-29T00:00:00Z,730.99,733.29,721,730.76,753.14286184,732.6104444444445,735.1544444444444,737.3233333333334,728.3280000000004,694.0889999999999,646.9925999999997,625.02795,732.1115110756832,733.6404412265716,1,0,727.22,760.4060270662746,694.0339729337254,728.7590205105554,21.090675890800103,9.312542590995351,-19.99000000000001,57.41946468705947,-3.3756694870307076,10.703562196591292,14.079231683622,5406.58132791,1179068.4572655791,1173740.5952024017,NaN,NaN,NaN,NaN,NaN,0.8715821366476864,19917.322306701397,0.5047518188944916,55.33545176564288,60.23251268911785,NaN,NaN,50,-0.08407783502576133,0.012844474839244788,57.426525855160385,60.91398428733526,NaN,NaN,1.5102645959163505
2016-11-30T00:00:00Z,730.72,744.49,727,742.06,751.8571473664,733.9915555555556,735.7433333333332,736.4515555555556,729.7075000000004,696.1501999999999,648.5853999999996,626.4604,734.1012088605465,733.2959529812574,NaN,NaN,728.27,761.5841679901121,694.9558320098879,728.5145102552776,21.090709495084692,9.074477688904816,14.969999999999914,53.79765609274983,-2.6516543132954453,10.764663792002693,13.416318105298139,6249.61852304,1185318.0757886192,1175867.5659916436,NaN,NaN,NaN,NaN,NaN,0.9414630450032861,20013.96236542157,0.7193658721971815,59.72064812281752,59.74767888093406,NaN,NaN,50,-0.07784570967604972,-0.0419775844324714,60.91242642580963,60.40371131655319,NaN,NaN,1.6219112026621878
2016-12-01T00:00:00Z,742.06,754.98,740.18,751.54,721,737.1508888888887,736.0011111111111,735.7497777777778,731.4650000000004,698.4909999999999,650.2984999999996,627.9303,737.5889670884372,733.8855623850061,NaN,NaN,735.745,768.7938702765327,702.6961297234673,732.1297551276389,21.09074185582088,8.971654213493965,14.779999999999973,53.43559750066947,-1.5761740863739586,11.44610049733069,13.022274583704649,6124.50185944,1191442.5776480592,1179682.3524770618,NaN,NaN,NaN,NaN,NaN,0.8998813347590259,20092.20439117082,0.309655374923245,63.00245890495431,59.645938046670764,NaN,NaN,50,-0.022120948910873472,-0.06214870634588244,65.0173035547674,60.84547659608181,NaN,NaN,1.38189801919937
2016-12-02T00:00:00Z,751.55,778.07,750.77,769.99,721.6796,743.9486666666667,739.3133333333332,736.1917777777777,734.8505000000005,701.2103999999998,652.2225999999996,629.5102499999999,744.0691736707498,736.064049908005,NaN,NaN,747.5799999999999,782.1682366853518,712.9917633146481,739.8548775638194,21.09077196663163,9.027165046280725,20.769999999999982,56.35619902961371,0.23925604024752367,13.321344634014054,13.08208859376653,8071.03298962,1199513.6106376792,1185800.9194555217,NaN,NaN,NaN,NaN,NaN,0.83192147170408,20290.34495409294,4.027398740846829,68.39888449964664,59.69112509149899,NaN,NaN,50,0.06182490550139808,-0.03703104111636827,70.53456484958241,61.19848964926474,NaN,NaN,1.5539343706084396
2016-12-03T00:00:00Z,770.91,770.99,752.41,760.75,723.9352160000001,748.2360000000001,742.1044444444443,737.6633333333333,737.8690000000004,703.6613999999998,654.0729999999996,631.0486,747.4053389365998,739.055239926404,NaN,NaN,761.7,796.4719340649696,726.9280659350305,750.7774387819097,21.0908031774894,9.089451607710096,20.57000000000005,52.58163060478146,0.6556481576723279,13.901648790856939,13.246000633184611,-2772.66124771,1196740.9493899692,1190416.7341459817,NaN,NaN,NaN,NaN,NaN,0.729969930960126,20257.072587011757,3.414760137569159,63.41055459582861,59.35040332651221,NaN,NaN,50,0.11498061332393343,0.019423802804822154,58.52346128657868,60.24995420353992,NaN,NaN,0.4531553315459267
2016-12-04T00:00:00Z,762.97,762.97,752.41,762,726.10060736,752.2151111111111,744.8744444444443,739.6073333333333,740.7780000000005,706.1821999999999,655.9051999999997,632.5939999999999,750.3242711492799,742.6977919411235,NaN,NaN,761.7,795.4967959174718,727.9032040825283,756.2387193909549,21.090834236637516,9.138471579654954,26.370000000000005,54.37228743193249,0.8412753306242031,14.297594796464864,13.45631946584066,3215.67738872,1199956.6267786892,1194594.3680486039,NaN,NaN,NaN,NaN,NaN,0.6868444486827517,20262.35631587919,3.3823110423704597,63.79523021749119,59.79769259447189,NaN,NaN,50,0.12855192521288392,0.07667366899211224,65.78041445002272,60.69798914986775,NaN,NaN,0.5617022267636947
2016-12-05T00:00:00Z,762,762.09,743,750.24,728.1793830656001,753.2882222222222,747.1333333333332,741.8853333333333,742.7370000000004,708.4075999999998,657.7244999999997,634.1637,750.3074169194239,745.9390335528989,NaN,NaN,757.69,791.7998819233667,723.5801180766334,756.9643596954775,21.090866765023854,9.290303131927933,13.169999999999959,46.855921779580314,0.040347380981009096,13.506753692066923,13.466406311085914,-5567.77285718,1194388.853921509,1196408.5236751817,NaN,NaN,NaN,NaN,NaN,0.564256254095375,20176.42848280775,2.7852748969051038,57.65406523639217,59.61123793767094,NaN,NaN,50,0.12422211311188981,0.11218534928115376,54.790450713791174,59.87912677612259,NaN,NaN,1.0531663496036199
2016-12-06T00:00:00Z,749.51,759.9,747.99,758.98,730.175007742976,755.6575555555555,750.6511111111109,744.8153333333332,743.7005000000005,710.8489999999998,659.5822999999997,635.7449999999999,752.0419335355391,748.8296268423192,NaN,NaN,753.9449999999999,787.3198903574117,720.5701096425881,755.4546798477387,21.090898193220664,9.381676305203648,29.07000000000005,48.32425192103639,-0.028778091745568446,13.430433696403952,13.45921178814952,6763.73852485,1201152.592446359,1198350.5266348417,NaN,NaN,NaN,NaN,NaN,0.6465979920222904,20255.223368054056,4.3529670571412815,60.68327070591184,59.40860664313903,NaN,NaN,50,0.11811218742960088,0.12310681290051362,61.89891268029191,59.189275432637224,NaN,NaN,1.313263322050717
2016-12-07T00:00:00Z,758.97,769.61,751.78,763.99,732.090807433257,758.3253333333333,754.4788888888886,747.8484444444442,745.1380000000005,713.4097999999998,661.5071999999997,637.3483999999999,754.4315468284312,750.9021014738555,NaN,NaN,753.9449999999999,787.4831124747395,720.4068875252603,754.6998399238694,21.090929013133255,9.541896783584244,36.66999999999996,55.314300727977695,0.12642542724646333,13.617243572207599,13.490818144961136,4809.70777587,1205962.3002222292,1199640.2645517518,NaN,NaN,NaN,NaN,NaN,0.9827663384063302,20286.972078108483,4.722153685884262,62.34606436864248,59.597726839681066,NaN,NaN,50,0.13514793681566784,0.12472807718525553,67.3350876415557,59.563583506547694,NaN,NaN,0.9112441926246706
2016-12-08T00:00:00Z,764.05,772.01,762.29,766.84,733.9299751359267,760.7975555555555,758.4877777777776,751.1251111111109,746.0310000000004,716.1869999999998,663.4164999999997,638.9885999999999,756.913237462745,752.8036811790845,NaN,NaN,760.6949999999999,793.2261044408295,728.1638955591703,757.6974199619347,21.090959494082735,9.67525411771113,37.30000000000007,61.86060736718137,0.27596368437764696,13.835772750433193,13.559809066055546,4889.40556084,1210851.7057830691,1202462.4158303717,NaN,NaN,NaN,NaN,NaN,1.2790052075354759,20305.211591516243,4.937325524111889,63.29700691297221,59.989442321453225,NaN,NaN,50,0.17040880029276867,0.13352519364919932,71.4318651102733,60.68265522614319,NaN,NaN,1.0569604495505298
2016-12-09T00:00:00Z,766.84,773.99,766.29,769.57,735.6955761304897,763.0140000000001,761.5444444444443,754.4591111111109,746.9720000000004,719.0005999999998,665.4046999999997,640.6215,759.444589970196,754.6277449432677,NaN,NaN,767.15,798.4574541236275,735.8425458763725,762.4237099809673,21.09098965499274,9.727489253773522,38.81000000000006,66.5515147441668,0.40582492587318697,14.067090223397031,13.661265297523844,2868.41656863,1213720.122351699,1205215.1149449735,NaN,NaN,NaN,NaN,NaN,1.665537511017919,20315.4233400327,3.7072473923941605,64.22892630378195,60.41563303297426,NaN,NaN,50,0.20646094298292234,0.15594776743823272,74.22834137869492,61.78281019719653,NaN,NaN,0.568086477857368
2016-12-10T00:00:00Z,769.57,774.12,768.11,772.28,737.3905530852701,765.1611111111112,763.8488888888887,757.802222222222,749.2315000000006,721.8661999999998,667.4169999999997,642.2630499999999,762.0116719761568,756.9685959546143,NaN,NaN,770.14,800.0697788290827,740.2102211709173,766.2818549904837,21.091019502624157,9.64739141179332,30.220000000000027,69.9057155775796,0.5143441439383629,14.304195477446797,13.789851333508434,2200.70812763,1215920.830479329,1209521.5102565377,NaN,NaN,NaN,NaN,NaN,1.9301387753853816,20323.173017158726,2.7596668174681334,65.17422484018437,61.133854438458414,NaN,NaN,50,0.21508610964879307,0.1839955888359738,76.4261528678402,63.375792865745815,NaN,NaN,0.4419262778495624
2016-12-11T00:00:00Z,772.28,772.28,764.01,768.97,739.0177309618592,766.1853333333335,763.7355555555555,760.419111111111,750.8420000000004,724.1551999999997,669.3866999999997,643.8643999999999,763.4033375809254,759.2408767636915,NaN,NaN,770.14,799.1133660555768,741.1666339444232,768.2109274952418,21.09104973386667,9.530353081484966,17.430000000000064,71.92354722311293,0.21844320792304472,14.06290534341224,13.844462135489195,-1421.13041748,1214499.700061849,1212190.9317796356,NaN,NaN,NaN,NaN,NaN,1.891510511882889,20317.08203761522,-0.1324692528474372,62.984867674224816,61.776731137170884,NaN,NaN,50,0.19769445998880847,0.20186622759083464,70.32124347346989,64.88674776008803,NaN,NaN,0.33000463604997576
