Data;IV/MA * 100
06/04/2022;100,0910326
07/04/2022;97,9451198
08/04/2022;96,29055652
09/04/2022;96,09555714
10/04/2022;96,26103076
11/04/2022;99,48000171
12/04/2022;98,87804591
13/04/2022;98,97871476
14/04/2022;98,00195149
15/04/2022;96,63217407
16/04/2022;96,67152094
17/04/2022;98,66796847
18/04/2022;98,31651947
19/04/2022;96,93607693
20/04/2022;96,9573048
21/04/2022;97,32282288
22/04/2022;98,01545696
23/04/2022;96,71590905
24/04/2022;97,86822005
25/04/2022;100,4093489
26/04/2022;100,8295532
27/04/2022;100,3221464
28/04/2022;98,64191597
29/04/2022;97,63399642
30/04/2022;97,35133819
01/05/2022;98,29513783
02/05/2022;99,8810487
03/05/2022;100,1552193
04/05/2022;101,2321676
05/05/2022;102,4916789
06/05/2022;102,18679
07/05/2022;101,4796269
08/05/2022;105,5856536
09/05/2022;112,2382433
10/05/2022;112,7599697
11/05/2022;119,1917715
12/05/2022;132,1118742
13/05/2022;117,5721408
14/05/2022;119,5957042
15/05/2022;118,2413431
16/05/2022;120,8191257
17/05/2022;117,4749949
18/05/2022;119,0843943
19/05/2022;117,9306613
20/05/2022;119,0362963
21/05/2022;116,5917737
22/05/2022;115,9156143
23/05/2022;114,6897353
24/05/2022;115,9201352
25/05/2022;115,430699
26/05/2022;114,9191266
27/05/2022;115,0135322
28/05/2022;114,4406928
29/05/2022;113,5826486
30/05/2022;110,8872503
31/05/2022;110,5661054
01/06/2022;109,5324948
02/06/2022;108,0974148
03/06/2022;108,3909506
04/06/2022;106,5532885
05/06/2022;107,4609995
06/06/2022;105,0903158
07/06/2022;107,365898
08/06/2022;106,9554055
09/06/2022;107,1022133
10/06/2022;110,2443676
