time,open,high,low,close,Shapes,Shapes,Jaw,Teeth,Lips,VWAP,Upper Band #1,Lower Band #1,Upper Band #2,Lower Band #2,Upper Band #3,Lower Band #3,%R,CCI Turbo Histogram,CCI Turbo,CCI 14
2021-10-23T00:00:00Z,60698.54,61737.38,59633.61,61338.76,0,0,51487.968859383785,56020.87572586761,60372.120150328774,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-43.31672706465762,27.66738889216854,-59.95697440273365,27.66738889216854
2021-10-24T00:00:00Z,61306.64,61497.33,59510,60910.16,1,0,52237.058562508115,56883.82876013416,61149.106120263015,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-46.58661071905395,6.896935451552361,-65.01098556183284,6.896935451552361
2021-10-25T00:00:00Z,60883.96,63733.93,60670,63101.43,0,1,52859.015596161335,57932.44391511739,61290.38689621041,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-29.868930001907305,70.08032351942265,33.39727214880627,70.08032351942265
2021-10-26T00:00:00Z,63101.43,63299.3,59830,60328.22,0,0,53473.39901184123,58723.01967572771,61169.408516968324,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-52.311446560556874,-45.94663785272072,-90.07663761627305,-45.94663785272072
2021-10-27T00:00:00Z,60331.4,61489,58100.01,58465.9,0,0,54200.406780161145,59114.58096626175,61036.25981357465,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-83.94512435769302,-135.4373074568104,-160.03678679319816,-135.4373074568104
2021-10-28T00:00:00Z,58471.06,62524,56425,60592.76,1,0,55052.12548937952,59310.94522047903,61269.400850859725,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-60.64995515271678,-58.004950460284526,-13.19891494940502,-58.004950460284526
2021-10-29T00:00:00Z,60608.95,62971.54,60154.53,62301.59,0,1,55760.1966055811,59460.035192919146,61328.450680687776,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-44.51597979511876,27.0995810583268,77.16699971453133,27.0995810583268
2021-10-30T00:00:00Z,62278.92,62376.32,60660.02,61932.3,0,0,56229.06686669025,59802.77641880425,61021.661544550225,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-48.00264362932538,5.028343925617949,40.86000942742761,5.028343925617949
2021-10-31T00:00:00Z,61904.96,62438.85,60000,61359.44,0,0,56571.869030791,60023.01061645372,60712.22923564018,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-53.411320398432686,-23.862654250312286,34.11966583151534,-23.862654250312286
2021-11-01T00:00:00Z,61356.57,62500,59500,60922.85,1,0,56874.31487457632,59994.44741439701,60882.39038851215,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-57.53339942406648,-41.057709387789124,-0.44833939791323296,-41.057709387789124
