time,open,high,low,close,Plot,Plot,Plot,Plot,Upper,Basis,Lower,Upper,Basis,Lower,Conversion Line,Base Line,Lagging Span,Leading Span A,Leading Span B,Kumo Cloud Upper Line,Kumo Cloud Lower Line,Plot,Basis,Upper,Lower,DEMA,Basis,Upper,Lower,CCI,Smoothing Line,CRSI,Plot,Correlation,Plot,Detrended Price Oscillator,ADX,+DI,-DI,RSI,Regular Bullish,Regular Bullish Label,Hidden Bullish,Hidden Bullish Label,Regular Bearish,Regular Bearish Label,Hidden Bearish,Hidden Bearish Label,EOM,Elder Force Index,Fisher,Trigger,HV,Plot,Plot,KST,Signal
2019-02-21T00:00:00Z,3936.8,3989.99,3866.25,3900.4,3722.487777777777,3592.935238095241,NaN,3804.9334769230745,3905.5707651933094,3667.153601251432,3428.7364373095547,3905.5707651933094,3667.153601251432,3428.7364373095547,3765.505,3661.0950000000003,3969.59,3672.1800000000003,3679.5600000000004,3679.5600000000004,3672.1800000000003,3991.0056666666665,3600.8405,3960.92455,3240.75645,3890.1782305319985,3664.35,4000,3328.7,172.14408385092491,175.56844952964207,40.81082594683044,18.769533260022826,-0.2328968365849869,226907318440,408.72238095237935,29.23500447601014,33.218038313560754,9.329949681730852,68.55032768811594,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7704.759308816648,447034.63354747253,2.6348464440699013,2.2496320598980923,38.299281800113555,766.3313717761762,476.70732124147713,44.29101127568872,-0.9821993484021144
2019-02-22T00:00:00Z,3900.64,3957,3882.59,3939.82,3763.03111111111,3616.982380952384,NaN,3850.631569230767,3922.579277251366,3693.1218297036767,3463.6643821559874,3922.579277251366,3693.1218297036767,3463.6643821559874,3765.505,3661.0950000000003,3998.13,3632.4674999999997,3679.5600000000004,3679.5600000000004,3632.4674999999997,4006.728962962963,3624.6904999999997,3987.15955,3262.22145,3927.6503011527366,3664.35,4000,3328.7,147.2995844627902,188.29659563704095,65.83602727972276,19.34003712114537,-0.23347037917603233,227946344740,445.4190476190456,31.15706656173608,31.72074545160654,8.909405068921954,70.26287442870716,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4714.164718076958,420305.39426907286,2.9242611022569656,2.6348464440699013,37.86069247168074,858.5992264799637,531.2633077041181,58.465966916244284,9.367724761030397
2019-02-23T00:00:00Z,3939.83,4157.87,3905.63,4113.53,3824.483333333332,3647.9685714285747,NaN,3914.6891384615387,3990.1204058581516,3733.1607030652312,3476.201000272311,3990.1204058581516,3733.1607030652312,3476.201000272311,3851.375,3740.03,4031.59,3603.5675,3679.5600000000004,3679.5600000000004,3603.5675,4049.2991851851853,3659.6259999999993,4025.5885999999996,3293.6633999999995,4014.654814303899,3743.285,4157.87,3328.7,166.9614597703869,183.4742460696622,80.67161617714602,21.528134524958226,-0.22881106808934892,228985371040,618.6942857142831,33.705768777402554,38.49094755517054,7.650507600954363,76.36939733352048,NaN,NaN,NaN,NaN,76.36939733352048,NaN,76.36939733352048,NaN,6448.583504809234,557951.6183304178,3.275797994590612,2.9242611022569656,41.399688126727455,970.1452090329888,593.960722179671,73.80735505421035,20.821432420337764
2019-02-24T00:00:00Z,4113.56,4190,3714.42,3730.68,3842.748888888888,3663.0095238095273,NaN,3918.098584615385,4059.3041781440756,3732.9244456304473,3406.544713116819,4059.3041781440756,3732.9244456304473,3406.544713116819,3871.99,3759.35,3974.21,3603.5675,3679.5600000000004,3679.5600000000004,3603.5675,3989.376185185185,3675.616499999999,4043.1781499999993,3308.0548499999995,3936.4667101484874,3759.35,4190,3328.7,80.27283398281934,154.16931680512184,18.59359224801293,19.38721448398592,-0.1441040664643886,230024397340,234.7676190476168,33.6890445090563,29.909737008253504,14.908382359492174,51.344300768249695,51.344300768249695,NaN,51.344300768249695,NaN,NaN,NaN,NaN,NaN,4412.477358365897,-273072.29935651063,2.8856878609496976,3.275797994590612,76.35805525666632,604.5097241872433,595.4677224664671,77.85058111263452,32.02235304723126
2019-02-25T00:00:00Z,3733.78,3861.81,3732.6,3820.71,3869.503333333332,3682.5257142857176,NaN,3930.434923076922,4061.2527338802893,3741.2849746180236,3421.317215355758,4061.2527338802893,3741.2849746180236,3421.317215355758,3871.99,3759.35,3982.07,3603.5675,3679.5600000000004,3679.5600000000004,3603.5675,3907.7843333333326,3695.0824999999995,4064.59075,3325.5742499999997,3910.6056550830845,3759.35,4190,3328.7,44.4242478718699,122.22044198775822,61.208033437778845,18.59542499150016,0.05673539851821177,230290672260,325.28666666666413,33.6735148313062,28.052671020022363,13.982735644119241,55.07260162897243,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2817.6969664336284,-120426.59040609797,2.0358510937406153,2.8856878609496976,77.09345777581548,375.88161202204566,564.098278117264,83.37363836352581,42.895976778122595
2019-02-26T00:00:00Z,3817.93,3830,3760.09,3795.06,3888.3322222222214,3699.8433333333364,NaN,3936.879169230769,4048.359388942822,3746.406405606783,3444.4534222707443,4048.359388942822,3746.406405606783,3444.4534222707443,3902.41,3759.35,3982.52,3603.5675,3679.5600000000004,3679.5600000000004,3603.5675,3818.3500370370366,3716.6045,4088.26495,3344.94405,3881.2247536379036,3763.955,4190,3337.91,33.87580224788965,94.56678566715121,36.168685524388046,17.42780481793993,0.14123599501514428,229968789030,299.3371428571404,33.659094416252536,27.087067895659658,13.50143483624029,53.80755852839529,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2961.357418180963,-127198.81611661163,1.1176502219609334,2.0358510937406153,77.48330980379819,216.36808221444852,514.4225358454332,89.26717523635149,53.39938790851167
2019-02-27T00:00:00Z,3794.42,3822.85,3658.19,3798.47,3880.4066666666654,3720.5028571428606,NaN,3942.751538461538,4056.0545281704767,3751.3648431680417,3446.6751581656067,4056.0545281704767,3751.3648431680417,3446.6751581656067,3924.0950000000003,3759.35,3969.99,3603.5675,3679.5600000000004,3679.5600000000004,3603.5675,3764.7374444444445,3738.5615,4112.41765,3364.7053499999997,3860.201986567471,3763.955,4190,3337.91,11.859167051155417,67.47870218482424,52.41609322854757,16.19796557646802,0.039809232618674875,230486400440,301.5871428571404,32.52568275620668,24.912028958499384,17.386548890763592,53.958972666209036,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2107.489900881227,-105324.15060416795,0.2890612608855294,1.1176502219609334,77.39769520330066,48.20366111189958,447.81983945492846,93.74095992241837,63.14830807935419
2019-02-28T00:00:00Z,3796.49,3897.62,3755,3791.36,3869.6177777777766,3741.0757142857174,NaN,3940.6136307692295,4057.9186222256576,3755.1739057234663,3452.429189221275,4057.9186222256576,3755.1739057234663,3452.429189221275,3924.0950000000003,3759.35,3910.51,3590.5675,3679.5600000000004,3679.5600000000004,3590.5675,3752.27637037037,3746.9824999999996,4121.6807499999995,3372.2842499999997,3841.7185361796955,3860.505,4190,3531.01,32.81811100673829,40.65003243209453,38.96420312465982,14.76018057269009,-0.009544862339898178,229670235920,290.07857142856847,31.972043417047264,26.82923006381873,16.17503791906736,53.56472034616279,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3579.719517915436,-97131.76176521544,-0.17829520226338147,0.2890612608855294,67.11739725078613,202.71679980514978,412.8051195049601,92.35966144083271,71.50116598329323
2019-03-01T00:00:00Z,3791.02,3845.3,3789.5,3807.05,3855.2311111111103,3749.8428571428603,NaN,3937.049538461536,4043.7447309827276,3760.1144861307553,3476.484241278783,4043.7447309827276,3760.1144861307553,3476.484241278783,3924.0950000000003,3759.35,3922.58,3561.18,3679.5600000000004,3679.5600000000004,3561.18,3762.223,3756.204,4131.8244,3380.5836000000004,3833.5231864843313,3860.505,4190,3531.01,28.762460146753618,30.347957664881385,56.72973717843998,12.564533558916706,-0.028938817372539758,230794678300,284.80190476190273,31.457949744970666,26.0639975031488,15.713687904314853,54.35725877743645,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3315.451297147666,-72583.43502803837,-0.4716178025410609,-0.17829520226338147,67.09314431161557,96.15626300085955,367.56956857580286,90.58229900088733,78.19318314697706
2019-03-02T00:00:00Z,3805,3818.75,3760,3810.46,3845.237777777777,3758.7876190476222,NaN,3931.9841230769252,4031.9265173422204,3764.909296975445,3497.89207660867,4031.9265173422204,3764.909296975445,3497.89207660867,3924.0950000000003,3759.35,4025.5,3488.7875000000004,3707.535,3707.535,3488.7875000000004,3781.0201851851857,3764.2084999999993,4140.629349999999,3387.7876499999993,3828.4468352199247,3860.505,4190,3531.01,16.46169160363151,24.75544641123371,59.198760602039094,10.524591216417383,-0.052200116959390454,231919120680,264.4995238095212,30.64711162863663,25.247487057602438,16.794445281946533,54.53886413929074,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2927.586455512642,-60626.4123017846,-0.7378646658209216,-0.4716178025410609,66.51580918350423,31.25550473447754,319.5247023127564,88.01571758583289,83.0514838481042
